Year,Make,Model,Condition,Price,Consumer_Rating,Consumer_Review_#,Exterior_Color,Interior_Color,Drivetrain,MPG,Fuel_Type,Transmission,Engine,VIN
2021,Honda,Ridgeline RTL-E,Honda Certified,"$38,432 ",4.6,1486,Platinum White Pearl,Black,All-wheel Drive,18–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F79MB006400
2022,Honda,CR-V EX-L,New,"$33,540 ",4.9,5490,Platinum White Pearl,Black,Front-wheel Drive,28–34,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,7FARW1H85NE021770
2020,Honda,CR-V EX-L,Used,"$25,434 ",5.0,2761,Radiant Red Metallic,Gray,Front-wheel Drive,28–34,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,7FARW1H85LE002147
2022,Honda,Accord Sport 1.5T,New,"$28,981 ",4.7,1932,Crystal Black Pearl,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F30NA108577
2019,Honda,Odyssey EX-L,Used,"$31,460 ",5.0,248,Silver,Mocha,Front-wheel Drive,19–28,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H79KB022666
2020,Honda,Odyssey EX-L,Used,"$38,998 ",4.5,285,Gray,Gray,Front-wheel Drive,19–28,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H79LB046077
2017,Honda,Pilot EX,Used,"$24,771 ",4.7,430,Lunar Silver Metallic,Gray,All-wheel Drive,18–26,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H32HB101928
2022,Honda,Accord Hybrid Sport,New,"$32,165 ",4.8,563,Lunar Silver Metallic,Black,Front-wheel Drive,44–41,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F2XNA040274
2018,Honda,Civic Touring,Used,"$23,732 ",4.2,727,White Orchid Pearl,Black / Gray,Front-wheel Drive,31–40,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HGFC3B91JH350282
2022,Honda,Pilot Special Edition,New,"$44,204 ",5.0,5,Lunar Silver Metallic,Gray,All-wheel Drive,19–26,Gasoline,9-SPEED A/T,V6 Cylinder Engine,5FNYF6H26NB101983
