Year,Make,Model,Condition,Price,Consumer_Rating,Consumer_Review_#,Exterior_Color,Interior_Color,Drivetrain,MPG,Fuel_Type,Transmission,Engine,VIN
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",5,3,Gray,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F39NA114815
2023,Honda,Ridgeline RTL-E,New,"$46,705 ",4.8,3,Gray,Black,All-wheel Drive,,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F71PB017167
2023,Honda,Ridgeline Black Edition,New,"$47,920 ",4.8,3,Platinum,Black,All-wheel Drive,,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F86PB001314
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",5,3,Platinum,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F36NA109930
2022,Honda,Pilot Sport,New,"$40,770 ",4.6,245,Platinum White Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H37NB103959
2022,Honda,Passport Elite,New,"$50,125 ",5,5663,Black,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H07NB016984
2022,Honda,Pilot Sport,New,"$40,270 ",4.9,826,Platinum White,–,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H31NB104296
2022,Honda,Pilot Sport,New,"$40,270 ",4.9,826,Platinum White,–,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H36NB104665
2022,Honda,Accord Sport 2.0T,New,"$34,755 ",5,38,Crystal Black Pearl,Black,Front-wheel Drive,22–32,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F31NA019607
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",5,38,Sonic Gray Pearl,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F38NA099448
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",4.4,38,Platinum White Pearl,Gray,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,7FARS6H94PE000459
