Year,Make,Model,Condition,Price,Stock_#,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type
2022,Honda,Pilot TrailSport,New,"$46,719 ",DNF098618,6,5,5,5,5,5,5,IA,Dealer
2022,Honda,Passport TrailSport,New,"$41,500 ",NB023701,13,5,5,4.9,5,4.9,5,MO,Dealer
2022,Honda,Pilot EX-L,New,"$43,605 ",221983,0,5,5,5,5,5,5,MN,Dealer
2023,Honda,CR-V EX,New,"$34,860 ",H13514,5,5,5,5,4,4,5,IA,Dealer
2023,Honda,Odyssey Sport,New,"$43,160 ",H13509,6,5,5,4,4,4,5,IA,Dealer
2022,Honda,Passport EX-L,New,"$43,230 ",H13426,1,5,5,4.9,5,4.9,5,IA,Dealer
2023,Honda,CR-V EX-L,New,"$36,505 ",H13416,6,5,5,5,4,4,5,IA,Dealer
2023,Honda,CR-V EX,New,"$34,250 ",H13505,6,5,5,5,4,4,5,IA,Dealer
2022,Honda,Pilot TrailSport,New,"$46,500 ",H13377,16,5,5,5,5,5,5,IA,Dealer
2023,Honda,CR-V EX-L,New,"$35,005 ",H13504,1,5,5,5,4,4,5,IA,Dealer
2023,Honda,CR-V EX-L,New,"$37,055 ",H13515,1,5,5,5,4,4,5,IA,Dealer
2022,Honda,Passport TrailSport,New,"$47,848 ",H13362,32,5,5,4.9,5,4.9,5,IA,Dealer
2022,Honda,Pilot Special Edition,New,"$44,205 ",H13400,1,5,5,5,5,5,5,IA,Dealer
2022,Honda,CR-V Touring,New,"$36,845 ",221714,10,4.9,4.8,4.7,4.8,4.7,4.9,LA,Dealer
2023,Honda,Passport TrailSport,New,"$44,290 ",231824,12,,,,,,,LA,Dealer
2022,Honda,Pilot Special Edition,New,"$44,100 ",221813,5,5,5,5,5,5,5,LA,Dealer
2023,Honda,CR-V EX-L,New,"$38,500 ",231827,12,5,5,5,4,4,5,LA,Dealer
2023,Honda,CR-V EX-L,New,"$37,000 ",231757,12,5,5,5,4,4,5,LA,Dealer
2023,Honda,CR-V EX-L,New,"$35,400 ",25679,5,5,5,5,4,4,5,LA,Dealer
2023,Honda,CR-V EX-L,New,"$35,900 ",25796,3,5,5,5,4,4,5,LA,Dealer
2023,Honda,CR-V EX-L,New,"$36,505 ",23H134,2,5,5,5,4,4,5,IA,Dealer
